x,low,med,high,halves,quarters,eighths,sixteenths,hundredths
0.000,0,0,0,0,0,0,0,0
0.001,0,0,1/999,0,0,0,0,0
0.002,0,0,1/500,0,0,0,0,0
0.003,0,0,2/667,0,0,0,0,0
0.004,0,0,1/250,0,0,0,0,0
0.005,0,0,1/200,0,0,0,0,1/100
0.006,0,1/99,3/500,0,0,0,0,1/100
0.007,0,1/99,6/857,0,0,0,0,1/100
0.008,0,1/99,1/125,0,0,0,0,1/100
0.009,0,1/99,8/889,0,0,0,0,1/100
0.010,0,1/99,1/100,0,0,0,0,1/100
0.011,0,1/91,10/909,0,0,0,0,1/100
0.012,0,1/83,3/250,0,0,0,0,1/100
0.013,0,1/77,12/923,0,0,0,0,1/100
0.014,0,1/71,7/500,0,0,0,0,1/100
0.015,0,1/67,3/200,0,0,0,0,2/100
0.016,0,1/63,2/125,0,0,0,0,2/100
0.017,0,1/59,11/647,0,0,0,0,2/100
0.018,0,1/56,9/500,0,0,0,0,2/100
0.019,0,1/53,11/579,0,0,0,0,2/100
0.020,0,1/50,1/50,0,0,0,0,2/100
0.021,0,2/95,13/619,0,0,0,0,2/100
0.022,0,2/91,11/500,0,0,0,0,2/100
0.023,0,2/87,21/913,0,0,0,0,2/100
0.024,0,2/83,3/125,0,0,0,0,2/100
0.025,0,1/40,1/40,0,0,0,0,3/100
0.026,0,2/77,13/500,0,0,0,0,3/100
0.027,0,1/37,26/963,0,0,0,0,3/100
0.028,0,2/71,7/250,0,0,0,0,3/100
0.029,0,2/69,27/931,0,0,0,0,3/100
0.030,0,2/67,3/100,0,0,0,0,3/100
0.031,0,3/97,27/871,0,0,0,0,3/100
0.032,0,3/94,4/125,0,0,0,1/16,3/100
0.033,0,3/91,23/697,0,0,0,1/16,3/100
0.034,0,3/88,17/500,0,0,0,1/16,3/100
0.035,0,2/57,7/200,0,0,0,1/16,4/100
0.036,0,3/83,9/250,0,0,0,1/16,4/100
0.037,0,1/27,36/973,0,0,0,1/16,4/100
0.038,0,3/79,19/500,0,0,0,1/16,4/100
0.039,0,3/77,25/641,0,0,0,1/16,4/100
0.040,0,1/25,1/25,0,0,0,1/16,4/100
0.041,0,3/73,23/561,0,0,0,1/16,4/100
0.042,0,4/95,21/500,0,0,0,1/16,4/100
0.043,0,4/93,39/907,0,0,0,1/16,4/100
0.044,0,4/91,11/250,0,0,0,1/16,4/100
0.045,0,4/89,9/200,0,0,0,1/16,5/100
0.046,0,4/87,23/500,0,0,0,1/16,5/100
0.047,0,4/85,29/617,0,0,0,1/16,5/100
0.048,0,4/83,6/125,0,0,0,1/16,5/100
0.049,0,3/61,27/551,0,0,0,1/16,5/100
0.050,0,1/20,1/20,0,0,0,1/16,5/100
0.051,0,5/98,28/549,0,0,0,1/16,5/100
0.052,0,4/77,13/250,0,0,0,1/16,5/100
0.053,0,5/94,38/717,0,0,0,1/16,5/100
0.054,0,2/37,27/500,0,0,0,1/16,5/100
0.055,0,5/91,11/200,0,0,0,1/16,6/100
0.056,1/9,5/89,7/125,0,0,0,1/16,6/100
0.057,1/9,2/35,46/807,0,0,0,1/16,6/100
0.058,1/9,4/69,29/500,0,0,0,1/16,6/100
0.059,1/9,1/17,39/661,0,0,0,1/16,6/100
0.060,1/9,3/50,3/50,0,0,0,1/16,6/100
0.061,1/9,5/82,33/541,0,0,0,1/16,6/100
0.062,1/9,6/97,31/500,0,0,0,1/16,6/100
0.063,1/9,6/95,55/873,0,0,1/8,1/16,6/100
0.064,1/9,5/78,8/125,0,0,1/8,1/16,6/100
0.065,1/9,5/77,13/200,0,0,1/8,1/16,7/100
0.066,1/9,6/91,33/500,0,0,1/8,1/16,7/100
0.067,1/9,1/15,40/597,0,0,1/8,1/16,7/100
0.068,1/9,3/44,17/250,0,0,1/8,1/16,7/100
0.069,1/9,2/29,67/971,0,0,1/8,1/16,7/100
0.070,1/9,4/57,7/100,0,0,1/8,1/16,7/100
0.071,1/9,7/99,59/831,0,0,1/8,1/16,7/100
0.072,1/9,7/97,9/125,0,0,1/8,1/16,7/100
0.073,1/9,7/96,63/863,0,0,1/8,1/16,7/100
0.074,1/9,2/27,37/500,0,0,1/8,1/16,7/100
0.075,1/9,3/40,3/40,0,0,1/8,1/16,8/100
0.076,1/9,6/79,19/250,0,0,1/8,1/16,8/100
0.077,1/9,1/13,76/987,0,0,1/8,1/16,8/100
0.078,1/9,6/77,39/500,0,0,1/8,1/16,8/100
0.079,1/9,3/38,41/519,0,0,1/8,1/16,8/100
0.080,1/9,2/25,2/25,0,0,1/8,1/16,8/100
0.081,1/9,3/37,55/679,0,0,1/8,1/16,8/100
0.082,1/9,5/61,41/500,0,0,1/8,1/16,8/100
0.083,1/9,1/12,62/747,0,0,1/8,1/16,8/100
0.084,1/9,8/95,21/250,0,0,1/8,1/16,8/100
0.085,1/9,4/47,17/200,0,0,1/8,1/16,9/100
0.086,1/9,8/93,43/500,0,0,1/8,1/16,9/100
0.087,1/9,2/23,85/977,0,0,1/8,1/16,9/100
0.088,1/9,8/91,11/125,0,0,1/8,1/16,9/100
0.089,1/9,4/45,72/809,0,0,1/8,1/16,9/100
0.090,1/9,8/89,9/100,0,0,1/8,1/16,9/100
0.091,1/9,1/11,90/989,0,0,1/8,1/16,9/100
0.092,1/9,8/87,23/250,0,0,1/8,1/16,9/100
0.093,1/9,4/43,89/957,0,0,1/8,1/16,9/100
0.094,1/9,8/85,47/500,0,0,1/8,2/16,9/100
0.095,1/9,2/21,19/200,0,0,1/8,2/16,10/100
0.096,1/9,7/73,12/125,0,0,1/8,2/16,10/100
0.097,1/9,7/72,55/567,0,0,1/8,2/16,10/100
0.098,1/9,5/51,49/500,0,0,1/8,2/16,10/100
0.099,1/9,9/91,89/899,0,0,1/8,2/16,10/100
0.100,1/9,1/10,1/10,0,0,1/8,2/16,10/100
0.101,1/9,10/99,91/901,0,0,1/8,2/16,10/100
0.102,1/9,5/49,51/500,0,0,1/8,2/16,10/100
0.103,1/9,7/68,79/767,0,0,1/8,2/16,10/100
0.104,1/9,8/77,13/125,0,0,1/8,2/16,10/100
0.105,1/9,2/19,21/200,0,0,1/8,2/16,11/100
0.106,1/9,7/66,53/500,0,0,1/8,2/16,11/100
0.107,1/9,3/28,81/757,0,0,1/8,2/16,11/100
0.108,1/9,4/37,27/250,0,0,1/8,2/16,11/100
0.109,1/9,6/55,86/789,0,0,1/8,2/16,11/100
0.110,1/9,10/91,11/100,0,0,1/8,2/16,11/100
0.111,1/9,1/9,110/991,0,0,1/8,2/16,11/100
0.112,1/9,11/98,14/125,0,0,1/8,2/16,11/100
0.113,1/9,7/62,93/823,0,0,1/8,2/16,11/100
0.114,1/9,9/79,57/500,0,0,1/8,2/16,11/100
0.115,1/9,10/87,23/200,0,0,1/8,2/16,12/100
0.116,1/9,8/69,29/250,0,0,1/8,2/16,12/100
0.117,1/9,11/94,64/547,0,0,1/8,2/16,12/100
0.118,1/9,11/93,59/500,0,0,1/8,2/16,12/100
0.119,1/8,5/42,62/521,0,0,1/8,2/16,12/100
0.120,1/8,3/25,3/25,0,0,1/8,2/16,12/100
0.121,1/8,11/91,87/719,0,0,1/8,2/16,12/100
0.122,1/8,5/41,61/500,0,0,1/8,2/16,12/100
0.123,1/8,8/65,100/813,0,0,1/8,2/16,12/100
0.124,1/8,12/97,31/250,0,0,1/8,2/16,12/100
0.125,1/8,1/8,1/8,0,1/4,1/8,2/16,13/100
0.126,1/8,12/95,63/500,0,1/4,1/8,2/16,13/100
0.127,1/8,8/63,119/937,0,1/4,1/8,2/16,13/100
0.128,1/8,11/86,16/125,0,1/4,1/8,2/16,13/100
0.129,1/8,4/31,125/969,0,1/4,1/8,2/16,13/100
0.130,1/8,10/77,13/100,0,1/4,1/8,2/16,13/100
0.131,1/8,11/84,101/771,0,1/4,1/8,2/16,13/100
0.132,1/8,7/53,33/250,0,1/4,1/8,2/16,13/100
0.133,1/8,2/15,106/797,0,1/4,1/8,2/16,13/100
0.134,1/7,13/97,67/500,0,1/4,1/8,2/16,13/100
0.135,1/7,5/37,27/200,0,1/4,1/8,2/16,14/100
0.136,1/7,11/81,17/125,0,1/4,1/8,2/16,14/100
0.137,1/7,10/73,127/927,0,1/4,1/8,2/16,14/100
0.138,1/7,4/29,69/500,0,1/4,1/8,2/16,14/100
0.139,1/7,5/36,103/741,0,1/4,1/8,2/16,14/100
0.140,1/7,7/50,7/50,0,1/4,1/8,2/16,14/100
0.141,1/7,11/78,76/539,0,1/4,1/8,2/16,14/100
0.142,1/7,14/99,71/500,0,1/4,1/8,2/16,14/100
0.143,1/7,1/7,142/993,0,1/4,1/8,2/16,14/100
0.144,1/7,14/97,18/125,0,1/4,1/8,2/16,14/100
0.145,1/7,10/69,29/200,0,1/4,1/8,2/16,14/100
0.146,1/7,13/89,73/500,0,1/4,1/8,2/16,15/100
0.147,1/7,5/34,76/517,0,1/4,1/8,2/16,15/100
0.148,1/7,4/27,37/250,0,1/4,1/8,2/16,15/100
0.149,1/7,7/47,97/651,0,1/4,1/8,2/16,15/100
0.150,1/7,3/20,3/20,0,1/4,1/8,2/16,15/100
0.151,1/7,8/53,98/649,0,1/4,1/8,2/16,15/100
0.152,1/7,12/79,19/125,0,1/4,1/8,2/16,15/100
0.153,1/7,13/85,125/817,0,1/4,1/8,2/16,15/100
0.154,1/7,2/13,77/500,0,1/4,1/8,2/16,15/100
0.155,1/6,11/71,31/200,0,1/4,1/8,2/16,16/100
0.156,1/6,12/77,39/250,0,1/4,1/8,2/16,16/100
0.157,1/6,8/51,111/707,0,1/4,1/8,3/16,16/100
0.158,1/6,3/19,79/500,0,1/4,1/8,3/16,16/100
0.159,1/6,7/44,121/761,0,1/4,1/8,3/16,16/100
0.160,1/6,4/25,4/25,0,1/4,1/8,3/16,16/100
0.161,1/6,14/87,90/559,0,1/4,1/8,3/16,16/100
0.162,1/6,6/37,81/500,0,1/4,1/8,3/16,16/100
0.163,1/6,15/92,126/773,0,1/4,1/8,3/16,16/100
0.164,1/6,10/61,41/250,0,1/4,1/8,3/16,16/100
0.165,1/6,16/97,33/200,0,1/4,1/8,3/16,17/100
0.166,1/6,1/6,83/500,0,1/4,1/8,3/16,17/100
0.167,1/6,1/6,84/503,0,1/4,1/8,3/16,17/100
0.168,1/6,16/95,21/125,0,1/4,1/8,3/16,17/100
0.169,1/6,12/71,157/929,0,1/4,1/8,3/16,17/100
0.170,1/6,9/53,17/100,0,1/4,1/8,3/16,17/100
0.171,1/6,13/76,125/731,0,1/4,1/8,3/16,17/100
0.172,1/6,16/93,43/250,0,1/4,1/8,3/16,17/100
0.173,1/6,9/52,132/763,0,1/4,1/8,3/16,17/100
0.174,1/6,4/23,87/500,0,1/4,1/8,3/16,17/100
0.175,1/6,7/40,7/40,0,1/4,1/8,3/16,18/100
0.176,1/6,16/91,22/125,0,1/4,1/8,3/16,18/100
0.177,1/6,17/96,157/887,0,1/4,1/8,3/16,18/100
0.178,1/6,13/73,89/500,0,1/4,1/8,3/16,18/100
0.179,1/6,17/95,104/581,0,1/4,1/8,3/16,18/100
0.180,1/6,9/50,9/50,0,1/4,1/8,3/16,18/100
0.181,1/6,17/94,141/779,0,1/4,1/8,3/16,18/100
0.182,1/6,2/11,91/500,0,1/4,1/8,3/16,18/100
0.183,1/6,15/82,155/847,0,1/4,1/8,3/16,18/100
0.184,1/5,16/87,23/125,0,1/4,1/8,3/16,18/100
0.185,1/5,5/27,37/200,0,1/4,1/8,3/16,19/100
0.186,1/5,8/43,93/500,0,1/4,1/8,3/16,19/100
0.187,1/5,17/91,164/877,0,1/4,1/8,3/16,19/100
0.188,1/5,16/85,47/250,0,1/4,2/8,3/16,19/100
0.189,1/5,17/90,134/709,0,1/4,2/8,3/16,19/100
0.190,1/5,15/79,19/100,0,1/4,2/8,3/16,19/100
0.191,1/5,17/89,174/911,0,1/4,2/8,3/16,19/100
0.192,1/5,19/99,24/125,0,1/4,2/8,3/16,19/100
0.193,1/5,11/57,182/943,0,1/4,2/8,3/16,19/100
0.194,1/5,13/67,97/500,0,1/4,2/8,3/16,19/100
0.195,1/5,8/41,39/200,0,1/4,2/8,3/16,20/100
0.196,1/5,10/51,49/250,0,1/4,2/8,3/16,20/100
0.197,1/5,13/66,105/533,0,1/4,2/8,3/16,20/100
0.198,1/5,19/96,99/500,0,1/4,2/8,3/16,20/100
0.199,1/5,1/5,159/799,0,1/4,2/8,3/16,20/100
0.200,1/5,1/5,1/5,0,1/4,2/8,3/16,20/100
0.201,1/5,1/5,161/801,0,1/4,2/8,3/16,20/100
0.202,1/5,20/99,101/500,0,1/4,2/8,3/16,20/100
0.203,1/5,14/69,176/867,0,1/4,2/8,3/16,20/100
0.204,1/5,10/49,51/250,0,1/4,2/8,3/16,20/100
0.205,1/5,8/39,41/200,0,1/4,2/8,3/16,21/100
0.206,1/5,7/34,103/500,0,1/4,2/8,3/16,21/100
0.207,1/5,6/29,136/657,0,1/4,2/8,3/16,21/100
0.208,1/5,16/77,26/125,0,1/4,2/8,3/16,21/100
0.209,1/5,14/67,144/689,0,1/4,2/8,3/16,21/100
0.210,1/5,17/81,21/100,0,1/4,2/8,3/16,21/100
0.211,1/5,19/90,188/891,0,1/4,2/8,3/16,21/100
0.212,2/9,7/33,53/250,0,1/4,2/8,3/16,21/100
0.213,2/9,13/61,154/723,0,1/4,2/8,3/16,21/100
0.214,2/9,3/14,107/500,0,1/4,2/8,3/16,21/100
0.215,2/9,20/93,43/200,0,1/4,2/8,3/16,22/100
0.216,2/9,19/88,27/125,0,1/4,2/8,3/16,22/100
0.217,2/9,18/83,120/553,0,1/4,2/8,3/16,22/100
0.218,2/9,17/78,109/500,0,1/4,2/8,3/16,22/100
0.219,2/9,16/73,136/621,0,1/4,2/8,4/16,22/100
0.220,2/9,11/50,11/50,0,1/4,2/8,4/16,22/100
0.221,2/9,21/95,181/819,0,1/4,2/8,4/16,22/100
0.222,2/9,2/9,111/500,0,1/4,2/8,4/16,22/100
0.223,2/9,21/94,159/713,0,1/4,2/8,4/16,22/100
0.224,2/9,15/67,28/125,0,1/4,2/8,4/16,22/100
0.225,2/9,9/40,9/40,0,1/4,2/8,4/16,23/100
0.226,2/9,19/84,113/500,0,1/4,2/8,4/16,23/100
0.227,2/9,22/97,190/837,0,1/4,2/8,4/16,23/100
0.228,2/9,13/57,57/250,0,1/4,2/8,4/16,23/100
0.229,2/9,19/83,199/869,0,1/4,2/8,4/16,23/100
0.230,2/9,20/87,23/100,0,1/4,2/8,4/16,23/100
0.231,2/9,3/13,155/671,0,1/4,2/8,4/16,23/100
0.232,2/9,16/69,29/125,0,1/4,2/8,4/16,23/100
0.233,2/9,17/73,209/897,0,1/4,2/8,4/16,23/100
0.234,2/9,11/47,117/500,0,1/4,2/8,4/16,23/100
0.235,2/9,4/17,47/200,0,1/4,2/8,4/16,24/100
0.236,2/9,21/89,59/250,0,1/4,2/8,4/16,24/100
0.237,1/4,23/97,196/827,0,1/4,2/8,4/16,24/100
0.238,1/4,5/21,119/500,0,1/4,2/8,4/16,24/100
0.239,1/4,11/46,201/841,0,1/4,2/8,4/16,24/100
0.240,1/4,6/25,6/25,0,1/4,2/8,4/16,24/100
0.241,1/4,20/83,154/639,0,1/4,2/8,4/16,24/100
0.242,1/4,15/62,121/500,0,1/4,2/8,4/16,24/100
0.243,1/4,17/70,217/893,0,1/4,2/8,4/16,24/100
0.244,1/4,10/41,61/250,0,1/4,2/8,4/16,24/100
0.245,1/4,12/49,49/200,0,1/4,2/8,4/16,25/100
0.246,1/4,15/61,123/500,0,1/4,2/8,4/16,25/100
0.247,1/4,21/85,144/583,0,1/4,2/8,4/16,25/100
0.248,1/4,24/97,31/125,0,1/4,2/8,4/16,25/100
0.249,1/4,1/4,187/751,0,1/4,2/8,4/16,25/100
0.250,1/4,1/4,1/4,1/2,1/4,2/8,4/16,25/100
0.251,1/4,1/4,188/749,1/2,1/4,2/8,4/16,25/100
0.252,1/4,25/99,63/250,1/2,1/4,2/8,4/16,25/100
0.253,1/4,21/83,232/917,1/2,1/4,2/8,4/16,25/100
0.254,1/4,16/63,127/500,1/2,1/4,2/8,4/16,25/100
0.255,1/4,13/51,51/200,1/2,1/4,2/8,4/16,26/100
0.256,1/4,21/82,32/125,1/2,1/4,2/8,4/16,26/100
0.257,1/4,9/35,156/607,1/2,1/4,2/8,4/16,26/100
0.258,1/4,8/31,129/500,1/2,1/4,2/8,4/16,26/100
0.259,1/4,22/85,223/861,1/2,1/4,2/8,4/16,26/100
0.260,1/4,13/50,13/50,1/2,1/4,2/8,4/16,26/100
0.261,1/4,6/23,172/659,1/2,1/4,2/8,4/16,26/100
0.262,1/4,11/42,131/500,1/2,1/4,2/8,4/16,26/100
0.263,1/4,5/19,177/673,1/2,1/4,2/8,4/16,26/100
0.264,1/4,19/72,33/125,1/2,1/4,2/8,4/16,26/100
0.265,1/4,22/83,53/200,1/2,1/4,2/8,4/16,27/100
0.266,1/4,25/94,133/500,1/2,1/4,2/8,4/16,27/100
0.267,1/4,4/15,161/603,1/2,1/4,2/8,4/16,27/100
0.268,2/7,26/97,67/250,1/2,1/4,2/8,4/16,27/100
0.269,2/7,25/93,223/829,1/2,1/4,2/8,4/16,27/100
0.270,2/7,17/63,27/100,1/2,1/4,2/8,4/16,27/100
0.271,2/7,13/48,171/631,1/2,1/4,2/8,4/16,27/100
0.272,2/7,25/92,34/125,1/2,1/4,2/8,4/16,27/100
0.273,2/7,3/11,181/663,1/2,1/4,2/8,4/16,27/100
0.274,2/7,20/73,137/500,1/2,1/4,2/8,4/16,27/100
0.275,2/7,11/40,11/40,1/2,1/4,2/8,4/16,28/100
0.276,2/7,8/29,69/250,1/2,1/4,2/8,4/16,28/100
0.277,2/7,18/65,218/787,1/2,1/4,2/8,4/16,28/100
0.278,2/7,5/18,139/500,1/2,1/4,2/8,4/16,28/100
0.279,2/7,12/43,190/681,1/2,1/4,2/8,4/16,28/100
0.280,2/7,7/25,7/25,1/2,1/4,2/8,4/16,28/100
0.281,2/7,25/89,247/879,1/2,1/4,2/8,4/16,28/100
0.282,2/7,11/39,141/500,1/2,1/4,2/8,5/16,28/100
0.283,2/7,15/53,268/947,1/2,1/4,2/8,5/16,28/100
0.284,2/7,23/81,71/250,1/2,1/4,2/8,5/16,28/100
0.285,2/7,2/7,57/200,1/2,1/4,2/8,5/16,28/100
0.286,2/7,2/7,143/500,1/2,1/4,2/8,5/16,29/100
0.287,2/7,27/94,223/777,1/2,1/4,2/8,5/16,29/100
0.288,2/7,19/66,36/125,1/2,1/4,2/8,5/16,29/100
0.289,2/7,13/45,176/609,1/2,1/4,2/8,5/16,29/100
0.290,2/7,20/69,29/100,1/2,1/4,2/8,5/16,29/100
0.291,2/7,16/55,236/811,1/2,1/4,2/8,5/16,29/100
0.292,2/7,26/89,73/250,1/2,1/4,2/8,5/16,29/100
0.293,2/7,29/99,247/843,1/2,1/4,2/8,5/16,29/100
0.294,2/7,5/17,147/500,1/2,1/4,2/8,5/16,29/100
0.295,2/7,18/61,59/200,1/2,1/4,2/8,5/16,30/100
0.296,2/7,29/98,37/125,1/2,1/4,2/8,5/16,30/100
0.297,2/7,19/64,188/633,1/2,1/4,2/8,5/16,30/100
0.298,2/7,14/47,149/500,1/2,1/4,2/8,5/16,30/100
0.299,2/7,29/97,209/699,1/2,1/4,2/8,5/16,30/100
0.300,2/7,3/10,3/10,1/2,1/4,2/8,5/16,30/100
0.301,2/7,28/93,211/701,1/2,1/4,2/8,5/16,30/100
0.302,2/7,29/96,151/500,1/2,1/4,2/8,5/16,30/100
0.303,2/7,10/33,293/967,1/2,1/4,2/8,5/16,30/100
0.304,2/7,24/79,38/125,1/2,1/4,2/8,5/16,30/100
0.305,2/7,18/59,61/200,1/2,1/4,2/8,5/16,31/100
0.306,2/7,26/85,153/500,1/2,1/4,2/8,5/16,31/100
0.307,2/7,27/88,171/557,1/2,1/4,2/8,5/16,31/100
0.308,2/7,4/13,77/250,1/2,1/4,2/8,5/16,31/100
0.309,2/7,17/55,182/589,1/2,1/4,2/8,5/16,31/100
0.310,1/3,22/71,31/100,1/2,1/4,2/8,5/16,31/100
0.311,1/3,14/45,246/791,1/2,1/4,2/8,5/16,31/100
0.312,1/3,29/93,39/125,1/2,1/4,2/8,5/16,31/100
0.313,1/3,31/99,195/623,1/2,1/4,3/8,5/16,31/100
0.314,1/3,27/86,157/500,1/2,1/4,3/8,5/16,31/100
0.315,1/3,23/73,63/200,1/2,1/4,3/8,5/16,32/100
0.316,1/3,6/19,79/250,1/2,1/4,3/8,5/16,32/100
0.317,1/3,13/41,207/653,1/2,1/4,3/8,5/16,32/100
0.318,1/3,7/22,159/500,1/2,1/4,3/8,5/16,32/100
0.319,1/3,15/47,230/721,1/2,1/4,3/8,5/16,32/100
0.320,1/3,8/25,8/25,1/2,1/4,3/8,5/16,32/100
0.321,1/3,26/81,295/919,1/2,1/4,3/8,5/16,32/100
0.322,1/3,19/59,161/500,1/2,1/4,3/8,5/16,32/100
0.323,1/3,21/65,198/613,1/2,1/4,3/8,5/16,32/100
0.324,1/3,23/71,81/250,1/2,1/4,3/8,5/16,32/100
0.325,1/3,13/40,13/40,1/2,1/4,3/8,5/16,33/100
0.326,1/3,15/46,163/500,1/2,1/4,3/8,5/16,33/100
0.327,1/3,17/52,241/737,1/2,1/4,3/8,5/16,33/100
0.328,1/3,21/64,41/125,1/2,1/4,3/8,5/16,33/100
0.329,1/3,25/76,253/769,1/2,1/4,3/8,5/16,33/100
0.330,1/3,32/97,33/100,1/2,1/4,3/8,5/16,33/100
0.331,1/3,32/97,189/571,1/2,1/4,3/8,5/16,33/100
0.332,1/3,1/3,83/250,1/2,1/4,3/8,5/16,33/100
0.333,1/3,1/3,332/997,1/2,1/4,3/8,5/16,33/100
0.334,1/3,1/3,167/500,1/2,1/4,3/8,5/16,33/100
0.335,1/3,1/3,67/200,1/2,1/4,3/8,5/16,34/100
0.336,1/3,33/98,42/125,1/2,1/4,3/8,5/16,34/100
0.337,1/3,31/92,245/727,1/2,1/4,3/8,5/16,34/100
0.338,1/3,24/71,169/500,1/2,1/4,3/8,5/16,34/100
0.339,1/3,20/59,319/941,1/2,1/4,3/8,5/16,34/100
0.340,1/3,17/50,17/50,1/2,1/4,3/8,5/16,34/100
0.341,1/3,15/44,252/739,1/2,1/4,3/8,5/16,34/100
0.342,1/3,13/38,171/500,1/2,1/4,3/8,5/16,34/100
0.343,1/3,12/35,272/793,1/2,1/4,3/8,5/16,34/100
0.344,1/3,32/93,43/125,1/2,1/4,3/8,6/16,34/100
0.345,1/3,10/29,69/200,1/2,1/4,3/8,6/16,35/100
0.346,1/3,9/26,173/500,1/2,1/4,3/8,6/16,35/100
0.347,1/3,17/49,237/683,1/2,1/4,3/8,6/16,35/100
0.348,1/3,8/23,87/250,1/2,1/4,3/8,6/16,35/100
0.349,1/3,15/43,297/851,1/2,1/4,3/8,6/16,35/100
0.350,1/3,7/20,7/20,1/2,1/4,3/8,6/16,35/100
0.351,1/3,33/94,298/849,1/2,1/4,3/8,6/16,35/100
0.352,1/3,25/71,44/125,1/2,1/4,3/8,6/16,35/100
0.353,1/3,6/17,347/983,1/2,1/4,3/8,6/16,35/100
0.354,1/3,23/65,177/500,1/2,1/4,3/8,6/16,35/100
0.355,3/8,11/31,71/200,1/2,1/4,3/8,6/16,36/100
0.356,3/8,21/59,89/250,1/2,1/4,3/8,6/16,36/100
0.357,3/8,5/14,181/507,1/2,1/4,3/8,6/16,36/100
0.358,3/8,29/81,179/500,1/2,1/4,3/8,6/16,36/100
0.359,3/8,14/39,345/961,1/2,1/4,3/8,6/16,36/100
0.360,3/8,9/25,9/25,1/2,1/4,3/8,6/16,36/100
0.361,3/8,13/36,274/759,1/2,1/4,3/8,6/16,36/100
0.362,3/8,21/58,181/500,1/2,1/4,3/8,6/16,36/100
0.363,3/8,33/91,208/573,1/2,1/4,3/8,6/16,36/100
0.364,3/8,4/11,91/250,1/2,1/4,3/8,6/16,36/100
0.365,3/8,23/63,73/200,1/2,1/4,3/8,6/16,37/100
0.366,3/8,15/41,183/500,1/2,1/4,3/8,6/16,37/100
0.367,3/8,29/79,258/703,1/2,1/4,3/8,6/16,37/100
0.368,3/8,32/87,46/125,1/2,1/4,3/8,6/16,37/100
0.369,3/8,31/84,269/729,1/2,1/4,3/8,6/16,37/100
0.370,3/8,27/73,37/100,1/2,1/4,3/8,6/16,37/100
0.371,3/8,23/62,197/531,1/2,1/4,3/8,6/16,37/100
0.372,3/8,16/43,93/250,1/2,1/4,3/8,6/16,37/100
0.373,3/8,22/59,210/563,1/2,1/4,3/8,6/16,37/100
0.374,3/8,37/99,187/500,1/2,1/4,3/8,6/16,37/100
0.375,3/8,3/8,3/8,1/2,2/4,3/8,6/16,38/100
0.376,3/8,35/93,47/125,1/2,2/4,3/8,6/16,38/100
0.377,3/8,23/61,259/687,1/2,2/4,3/8,6/16,38/100
0.378,3/8,31/82,189/500,1/2,2/4,3/8,6/16,38/100
0.379,3/8,36/95,296/781,1/2,2/4,3/8,6/16,38/100
0.380,3/8,19/50,19/50,1/2,2/4,3/8,6/16,38/100
0.381,3/8,8/21,373/979,1/2,2/4,3/8,6/16,38/100
0.382,3/8,34/89,191/500,1/2,2/4,3/8,6/16,38/100
0.383,3/8,18/47,365/953,1/2,2/4,3/8,6/16,38/100
0.384,3/8,38/99,48/125,1/2,2/4,3/8,6/16,38/100
0.385,3/8,5/13,77/200,1/2,2/4,3/8,6/16,39/100
0.386,3/8,22/57,193/500,1/2,2/4,3/8,6/16,39/100
0.387,3/8,12/31,262/677,1/2,2/4,3/8,6/16,39/100
0.388,2/5,26/67,97/250,1/2,2/4,3/8,6/16,39/100
0.389,2/5,7/18,198/509,1/2,2/4,3/8,6/16,39/100
0.390,2/5,23/59,39/100,1/2,2/4,3/8,6/16,39/100
0.391,2/5,34/87,278/711,1/2,2/4,3/8,6/16,39/100
0.392,2/5,29/74,49/125,1/2,2/4,3/8,6/16,39/100
0.393,2/5,11/28,292/743,1/2,2/4,3/8,6/16,39/100
0.394,2/5,13/33,197/500,1/2,2/4,3/8,6/16,39/100
0.395,2/5,32/81,79/200,1/2,2/4,3/8,6/16,40/100
0.396,2/5,19/48,99/250,1/2,2/4,3/8,6/16,40/100
0.397,2/5,27/68,291/733,1/2,2/4,3/8,6/16,40/100
0.398,2/5,39/98,199/500,1/2,2/4,3/8,6/16,40/100
0.399,2/5,2/5,239/599,1/2,2/4,3/8,6/16,40/100
0.400,2/5,2/5,2/5,1/2,2/4,3/8,6/16,40/100
0.401,2/5,2/5,241/601,1/2,2/4,3/8,6/16,40/100
0.402,2/5,39/97,201/500,1/2,2/4,3/8,6/16,40/100
0.403,2/5,27/67,376/933,1/2,2/4,3/8,6/16,40/100
0.404,2/5,40/99,101/250,1/2,2/4,3/8,6/16,40/100
0.405,2/5,32/79,81/200,1/2,2/4,3/8,6/16,41/100
0.406,2/5,28/69,203/500,1/2,2/4,3/8,6/16,41/100
0.407,2/5,35/86,221/543,1/2,2/4,3/8,7/16,41/100
0.408,2/5,31/76,51/125,1/2,2/4,3/8,7/16,41/100
